Time 	as_src 	ip_dst 	ip_src 	port_dst 	port_src 
"November 5th 2015, 02:50:03.391"	"263,853"	REDACTED	138.186.75.214	"46,218"	53
"November 5th 2015, 02:50:03.392"	"52,041"	REDACTED	128.0.80.240	0	0
"November 5th 2015, 02:50:03.393"	"262,344"	REDACTED	177.125.128.114	0	0
"November 5th 2015, 02:50:03.393"	"57,388"	REDACTED	130.0.26.228	"8,056"	53
"November 5th 2015, 02:50:03.394"	"19,332"	REDACTED	200.39.114.17	"16,408"	53
"November 5th 2015, 02:50:03.395"	"51,995"	REDACTED	91.220.230.1	0	0
"November 5th 2015, 02:50:03.395"	"51,034"	REDACTED	84.244.31.150	"22,157"	53
"November 5th 2015, 02:50:03.396"	"44,927"	REDACTED	95.46.85.218	0	0
"November 5th 2015, 02:50:03.396"	"57,388"	REDACTED	185.85.152.90	0	0
"November 5th 2015, 02:50:03.397"	"42,187"	REDACTED	91.190.233.7	"25,415"	53
"November 5th 2015, 02:50:03.398"	"42,893"	REDACTED	146.66.163.190	"3,483"	53
"November 5th 2015, 02:50:03.399"	"43,754"	REDACTED	185.99.214.198	"38,193"	53
"November 5th 2015, 02:50:03.400"	"3,764"	REDACTED	209.44.186.129	"44,415"	53
"November 5th 2015, 02:50:03.401"	"50,606"	REDACTED	109.196.45.22	"25,501"	53
"November 5th 2015, 02:50:03.402"	0	REDACTED	80.249.211.69	"24,306"	179
"November 5th 2015, 02:50:03.403"	"52,041"	REDACTED	176.118.229.145	0	0
"November 5th 2015, 02:50:03.403"	"44,056"	REDACTED	195.2.239.146	"64,606"	53
"November 5th 2015, 02:50:03.404"	"39,939"	REDACTED	66.109.213.216	"58,618"	53
"November 5th 2015, 02:50:03.405"	"41,691"	REDACTED	109.172.10.52	"31,446"	53
"November 5th 2015, 02:50:03.406"	"15,311"	REDACTED	186.103.169.170	0	0
"November 5th 2015, 02:50:03.407"	"201,725"	REDACTED	176.97.253.241	"25,953"	53
"November 5th 2015, 02:50:03.407"	"131,178"	REDACTED	103.12.161.252	0	0
"November 5th 2015, 02:50:03.408"	"35,125"	REDACTED	95.158.246.218	"17,723"	53
"November 5th 2015, 02:50:03.409"	"2,828"	REDACTED	216.1.171.194	"52,092"	53
"November 5th 2015, 02:50:03.411"	"19,975"	REDACTED	162.211.218.178	0	0
"November 5th 2015, 02:50:03.411"	"22,368"	REDACTED	186.183.184.50	"50,225"	53
"November 5th 2015, 02:50:03.412"	"31,148"	REDACTED	46.219.104.62	"14,330"	53
"November 5th 2015, 02:50:03.412"	"16,143"	REDACTED	217.76.34.107	0	0
"November 5th 2015, 02:50:03.413"	"8,595"	REDACTED	91.135.148.14	0	0
"November 5th 2015, 02:50:03.415"	"50,606"	REDACTED	178.219.126.222	"9,531"	53
"November 5th 2015, 02:50:03.416"	"17,974"	REDACTED	180.250.16.92	"64,664"	53
"November 5th 2015, 02:50:03.417"	"50,129"	REDACTED	185.104.60.116	0	0
"November 5th 2015, 02:50:03.417"	"23,947"	REDACTED	103.233.159.141	"49,608"	53
"November 5th 2015, 02:50:03.418"	"44,894"	REDACTED	91.203.60.70	0	0
"November 5th 2015, 02:50:03.419"	"52,041"	REDACTED	176.96.189.174	"31,370"	53
"November 5th 2015, 02:50:03.419"	"17,974"	REDACTED	118.97.250.90	"52,811"	53
"November 5th 2015, 02:50:03.420"	"22,368"	REDACTED	186.183.185.218	0	0
"November 5th 2015, 02:50:03.420"	"262,544"	REDACTED	177.70.67.237	"63,886"	53
"November 5th 2015, 02:50:03.421"	"17,974"	REDACTED	180.241.52.114	"36,323"	53
"November 5th 2015, 02:50:03.422"	"6,876"	REDACTED	188.115.165.174	0	0
"November 5th 2015, 02:50:03.422"	"4,788"	REDACTED	1.9.35.18	"29,055"	53
"November 5th 2015, 02:50:03.423"	"22,368"	REDACTED	186.183.184.82	"29,988"	53
"November 5th 2015, 02:50:03.424"	"26,615"	REDACTED	177.148.221.50	0	0
"November 5th 2015, 02:50:03.424"	"28,007"	REDACTED	190.52.104.134	0	0
"November 5th 2015, 02:50:03.425"	"35,125"	REDACTED	212.3.152.98	"58,165"	53
"November 5th 2015, 02:50:03.426"	"21,228"	REDACTED	192.162.233.21	"20,351"	53
"November 5th 2015, 02:50:03.426"	"48,072"	REDACTED	92.245.142.240	"53,892"	53
"November 5th 2015, 02:50:03.427"	"23,673"	REDACTED	203.189.158.116	"23,082"	53
"November 5th 2015, 02:50:03.428"	"24,186"	REDACTED	122.252.232.226	0	0
"November 5th 2015, 02:50:03.428"	"4,788"	REDACTED	175.139.136.114	"31,640"	53
"November 5th 2015, 02:50:03.429"	"262,687"	REDACTED	187.87.207.1	0	0
"November 5th 2015, 02:50:03.429"	"24,323"	REDACTED	182.160.112.98	0	0
"November 5th 2015, 02:50:03.430"	"263,665"	REDACTED	191.241.39.227	"9,409"	53
"November 5th 2015, 02:50:03.431"	"264,115"	REDACTED	138.59.224.249	"25,543"	53
"November 5th 2015, 02:50:03.431"	"25,385"	REDACTED	212.2.133.149	0	0
"November 5th 2015, 02:50:03.432"	"15,311"	REDACTED	190.82.111.202	0	0
"November 5th 2015, 02:50:03.433"	"9,116"	REDACTED	84.94.42.17	"24,073"	53
"November 5th 2015, 02:50:03.433"	"17,222"	REDACTED	189.45.129.73	"63,960"	53
"November 5th 2015, 02:50:03.434"	"44,208"	REDACTED	94.74.133.82	"41,180"	53
"November 5th 2015, 02:50:03.435"	"22,368"	REDACTED	186.183.165.82	"18,961"	53
"November 5th 2015, 02:50:03.435"	"21,228"	REDACTED	192.162.233.21	"39,605"	53
"November 5th 2015, 02:50:03.436"	"131,178"	REDACTED	103.12.161.248	0	0
"November 5th 2015, 02:50:03.437"	"17,974"	REDACTED	180.250.187.202	0	0
"November 5th 2015, 02:50:03.437"	"57,388"	REDACTED	130.0.25.59	"6,477"	53
"November 5th 2015, 02:50:03.438"	"48,524"	REDACTED	94.190.45.221	"48,061"	53
"November 5th 2015, 02:50:03.438"	"15,930"	REDACTED	89.18.148.77	"10,853"	53
"November 5th 2015, 02:50:03.475"	"38,496"	REDACTED	103.31.157.74	"9,213"	53
"November 5th 2015, 02:50:03.475"	"29,456"	REDACTED	95.71.125.83	"22,673"	53
"November 5th 2015, 02:50:03.476"	"22,368"	REDACTED	181.174.60.162	"51,518"	53
"November 5th 2015, 02:50:03.477"	"8,163"	REDACTED	200.89.112.110	"57,750"	53
"November 5th 2015, 02:50:03.477"	"34,251"	REDACTED	46.175.16.134	"54,782"	53
"November 5th 2015, 02:50:03.478"	"12,772"	REDACTED	79.122.252.170	0	0
"November 5th 2015, 02:50:03.479"	"61,981"	REDACTED	185.53.5.2	0	0
"November 5th 2015, 02:50:03.479"	"48,524"	REDACTED	94.190.10.60	"63,059"	53
"November 5th 2015, 02:50:03.480"	"15,311"	REDACTED	186.103.191.43	"61,871"	53
"November 5th 2015, 02:50:03.481"	"4,788"	REDACTED	175.139.154.93	0	0
"November 5th 2015, 02:50:03.481"	"17,974"	REDACTED	180.250.113.211	"6,337"	53
"November 5th 2015, 02:50:03.482"	"22,368"	REDACTED	186.183.184.114	"54,338"	53
"November 5th 2015, 02:50:03.483"	"31,549"	REDACTED	94.183.183.22	"35,684"	53
"November 5th 2015, 02:50:03.483"	"4,788"	REDACTED	175.139.203.77	"32,958"	53
"November 5th 2015, 02:50:03.484"	"31,148"	REDACTED	188.231.218.49	0	0
"November 5th 2015, 02:50:03.485"	"34,896"	REDACTED	85.15.86.224	0	0
"November 5th 2015, 02:50:03.485"	"4,788"	REDACTED	1.9.35.18	"60,332"	53
"November 5th 2015, 02:50:03.486"	"31,549"	REDACTED	94.183.249.234	0	0
"November 5th 2015, 02:50:03.486"	"49,515"	REDACTED	188.95.32.42	0	0
"November 5th 2015, 02:50:03.487"	"4,788"	REDACTED	175.139.14.242	"64,762"	53
"November 5th 2015, 02:50:03.488"	"6,568"	REDACTED	200.87.118.148	0	0
"November 5th 2015, 02:50:03.488"	"17,222"	REDACTED	189.91.83.139	"19,505"	53
"November 5th 2015, 02:50:03.489"	"34,896"	REDACTED	85.15.86.224	"31,268"	53
"November 5th 2015, 02:50:03.490"	"43,146"	REDACTED	89.108.111.251	"38,843"	53
"November 5th 2015, 02:50:03.490"	"4,788"	REDACTED	175.139.136.114	"24,404"	53
"November 5th 2015, 02:50:03.491"	"4,788"	REDACTED	175.139.54.248	0	0
